OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	697290,4563	9545158,86	697,2904563	9545,15886
-1	-1	0	0	697225,6227	9545313,582	697,2256227	9545,313582
-1	-1	0	0	697222,4667	9545468,238	697,2224667	9545,468238
-1	-1	0	0	697229,9099	9545489,985	697,2299099	9545,489985
-1	-1	0	0	697233,1216	9545524,555	697,2331216	9545,524555
-1	-1	0	0	697229,1167	9545577,764	697,2291167	9545,577764
-1	-1	0	0	697222,1667	9545606,273	697,2221667	9545,606273
-1	-1	0	0	697204,5824	9545663,05	697,2045824	9545,66305
-1	-1	0	0	697197,4878	9545697,688	697,1974878	9545,697688
-1	-1	0	0	697225,1495	9545731,956	697,2251495	9545,731956
-1	-1	0	0	697232,8912	9545777,343	697,2328912	9545,777343
-1	-1	0	0	697181,101	9545894,742	697,181101	9545,894742
-1	-1	0	0	697153,9841	9545988,442	697,1539841	9545,988442
-1	-1	0	0	697132,11	9546095,241	697,13211	9546,095241
-1	-1	0	0	697125,03	9546143,689	697,12503	9546,143689
-1	-1	0	0	697129,2719	9546188,331	697,1292719	9546,188331
-1	-1	0	0	697142,8993	9546246,902	697,1428993	9546,246902
-1	-1	0	0	697146,4589	9546319,62	697,1464589	9546,31962
-1	-1	0	0	697160,97	9546330,629	697,16097	9546,330629
-1	-1	0	0	697204,4011	9546346,315	697,2044011	9546,346315
-1	-1	0	0	697213,8322	9546360,228	697,2138322	9546,360228
-1	-1	0	0	697161,2677	9546405,978	697,1612677	9546,405978
-1	-1	0	0	697160,7931	9546429,237	697,1607931	9546,429237
-1	-1	0	0	697192,34	9546473,706	697,19234	9546,473706
-1	-1	0	0	697217,8173	9546488,15	697,2178173	9546,48815
-1	-1	0	0	697218,0469	9546499,403	697,2180469	9546,499403
-1	-1	0	0	697158,03	9546564,629	697,15803	9546,564629
-1	-1	0	0	697111,7747	9546614,053	697,1117747	9546,614053
-1	-1	0	0	697055,9161	9546686,413	697,0559161	9546,686413
-1	-1	0	0	697029,6581	9546744,518	697,0296581	9546,744518
-1	-1	0	0	696991,8549	9546806,56	696,9918549	9546,80656
-1	-1	0	0	696930,223	9546884,812	696,930223	9546,884812
-1	-1	0	0	696858,2018	9546936,609	696,8582018	9546,936609
-1	-1	0	0	696766,9757	9546947,475	696,7669757	9546,947475
-1	-1	0	0	696744,0271	9546961,098	696,7440271	9546,961098
